start_time,end_time,wav_file,text,emotion,speaker
56.16,58.8225,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav,I'm here to get an ID.,5,Ses01F_impro01_F
58.18,62.59,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav,"No.  I need another ID, a separate one.",5,Ses01F_impro01_M
61.87,65.97,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav,Like what?  Like a birth certificate?,5,Ses01F_impro01_F
65.51,73.0,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",5,Ses01F_impro01_M
72.45,82.26,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",5,Ses01F_impro01_F
81.59,86.03,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav,"Yeah.  We keep it on file, but we need an ID to access that file.",5,Ses01F_impro01_M
85.27,88.02,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,That's out of control.,3,Ses01F_impro01_F
87.15,94.39,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,3,Ses01F_impro01_M
93.67,97.0218,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav,How long have you been working here?,5,Ses01F_impro01_F
97.89,102.96,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,"Clearly.  You know, do you have like a supervisor or something?",2,Ses01F_impro01_F
101.84,107.87,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,3,Ses01F_impro01_M
103.97,106.71,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav,That would - I would appreciate that.  Yeah.,5,Ses01F_impro01_F
7.2688,16.6,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,Did you get the mail? So you saw my letter?,1,Ses01F_impro02_F
19.85,22.78,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,Yeah.  I know.,1,Ses01F_impro02_F
21.76,27.5558,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav,"I don't understand.  You've already done so much, I don't know why do you have to go back.",1,Ses01F_impro02_M
26.5659,32.2895,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,I don't know.  I put in that. request too. They didn't...,1,Ses01F_impro02_F
32.3075,37.96,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,"I guess, you know, everybody has to make sacrifices.",2,Ses01F_impro02_F
47.34,53.11,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,"There's people that have given more though, you know?",1,Ses01F_impro02_F
52.71,59.0534,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav,I just don't see how they can make you leave when you have a new baby - we have a new kid.,5,Ses01F_impro02_M
58.75,61.31,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,I know.,1,Ses01F_impro02_F
64.255,68.47,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,"There's babies over there, though, that need mothers.",2,Ses01F_impro02_F
69.34,74.29,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,1,Ses01F_impro02_M
87.2031,91.09,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,"Just, you know, kicking myself.",1,Ses01F_impro02_F
97.94,102.19,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,things just aren't what they seem.,1,Ses01F_impro02_F
110.5653,113.2,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav,I know.,5,Ses01F_impro02_M
114.1775,117.85,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav,I just don't see why it has to be you.,1,Ses01F_impro02_M
117.83,120.8605,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,"If not me then, who?",1,Ses01F_impro02_F
120.4105,124.63,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav,What am I going to do? Huh?,1,Ses01F_impro02_M
127.82,133.9455,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,"You'll videotape everything, yeah?",1,Ses01F_impro02_F
133.88,137.1,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav,Yeah.,1,Ses01F_impro02_M
139.03,146.43,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav,"Maybe you can send it to me, like stream it, yeah?",1,Ses01F_impro02_F
147.03,151.7101,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav,Don't you guys have access to computers over there.,2,Ses01F_impro02_M
151.4221,155.01,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav,Last month--  Yeah.,1,Ses01F_impro02_F
157.98,162.71,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav,I just don't know how I'm going to do it without you.,1,Ses01F_impro02_M
163.54,165.73,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav,I have to find sitters.,2,Ses01F_impro02_F
164.885,169.5,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav,I can't raise a baby by myself.  How?,1,Ses01F_impro02_M
169.36,176.015,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",1,Ses01F_impro02_F
175.47,176.72,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav,I know.,2,Ses01F_impro02_M
176.08,179.13,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav,And your mother is close by.,2,Ses01F_impro02_F
182.83,185.8894,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav,I'll send you lots of letters.,1,Ses01F_impro02_F
186.58,191.11,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav,And I want lots and lots and lots of pictures.,1,Ses01F_impro02_F
195.1047,199.52,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav,It's just not fair.,5,Ses01F_impro02_M
3.24,5.46,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,So what's up?  What's new?,2,Ses01F_impro03_M
4.88,7.74,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav,Well Vegas was awesome.,0,Ses01F_impro03_F
6.6,8.66,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,Yeah.  I heard.,2,Ses01F_impro03_M
7.93,11.37,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav,"And, um, I got married.",0,Ses01F_impro03_F
12.8,15.37,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav,Yeah.  In the old town part.,0,Ses01F_impro03_F
14.93,18.9075,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,Who did you marry?,4,Ses01F_impro03_M
21.75,25.52,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,Um- Yes.  It was very romantic.,0,Ses01F_impro03_F
25.5584,28.14,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,It was at the slot machines.,0,Ses01F_impro03_F
28.37,34.71,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",0,Ses01F_impro03_F
34.25,36.34,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,He turned to you and was like...,2,Ses01F_impro03_M
37.7175,40.47,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,[LAUGHTER] That's really romantic.,0,Ses01F_impro03_M
40.12,42.79,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,"Yeah.  Well.  You know, because he's leaving the next day.",0,Ses01F_impro03_F
42.09,43.41,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,Yeah.,2,Ses01F_impro03_M
42.84,44.54,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,But we're going to have a honeymoon cruise.,0,Ses01F_impro03_F
44.16,49.07,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",2,Ses01F_impro03_M
47.87,51.075,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,Oh.  I hadn't even thought about that.,0,Ses01F_impro03_F
52.92,56.85,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,2,Ses01F_impro03_M
55.865,58.15,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,Oh.  Totally.,0,Ses01F_impro03_F
60.73,65.86,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],0,Ses01F_impro03_F
65.6425,68.44,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,Like you need another one of those.[LAUGHTER],0,Ses01F_impro03_M
73.41,76.9975,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,Is that your phone?,0,Ses01F_impro03_M
74.2675,78.8425,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,"Yeah, so [LAUGHTER] He's calling me now",4,Ses01F_impro03_F
78.32,80.5,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,He loves you.,0,Ses01F_impro03_M
79.035,81.0875,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,"He likes to keep tabs, you know.",0,Ses01F_impro03_F
80.7175,82.5225,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,How much did he win at the slot?,2,Ses01F_impro03_M
82.0975,85.08,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,"Uh, I think seven hundred and fifty dollars.",2,Ses01F_impro03_F
85.1,88.0225,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,Penny slots. That's what he plays.,2,Ses01F_impro03_F
88.08,89.5,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,Yeah.,2,Ses01F_impro03_F
89.12,93.91,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,2,Ses01F_impro03_M
92.75,98.21,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,0,Ses01F_impro03_F
97.03,101.65,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,"But the pennies always get you because you end up spending like, you know, fifty bucks.",2,Ses01F_impro03_M
99.7775,102.03,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav,Fifty bucks. Mmhmm.,2,Ses01F_impro03_F
101.67,104.35,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",2,Ses01F_impro03_M
102.62,103.4625,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav,Yeah.,2,Ses01F_impro03_F
103.78,108.1825,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav,Well so now we're married. We have cat children.,0,Ses01F_impro03_F
105.29,106.95,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M022.wav,Awesome.,4,Ses01F_impro03_M
107.71,111.4,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav,[LAUGHTER] Cat babies.,0,Ses01F_impro03_M
110.23,114.16,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav,"We renamed Brenda, Lumber Janet.",0,Ses01F_impro03_F
114.19,120.2,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav,She needs a new name each state that we go into. [LAUGHTER],0,Ses01F_impro03_F
117.36,119.58,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav,That's fair enough.,2,Ses01F_impro03_M
2.7418,6.6575,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,"Have you tried, uh, Craig's List?",2,Ses01F_impro04_M
7.2455,11.64,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,"Uh, what?  Craig's List?  Oh the internet thing?",2,Ses01F_impro04_F
10.46,12.13,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,Yeah.,2,Ses01F_impro04_M
11.7448,16.15,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,I don't know.  Isn't that-- that's all like escort services and things like that.,2,Ses01F_impro04_F
15.64,18.9,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,No.  There's regular jobs on there.,2,Ses01F_impro04_M
18.6,30.8976,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F002.wav,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",5,Ses01F_impro04_F
26.91,28.71,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav,Uh huh.,2,Ses01F_impro04_M
30.88,35.5225,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav,I'm just saying I have a friend that got a good job on it so I was just recommending it.,2,Ses01F_impro04_M
37.19,40.53,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav,He's like a manager for a theatre.,2,Ses01F_impro04_M
40.54,43.576,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav,He's like a house manager. Yeah.  It's a good job.,2,Ses01F_impro04_M
43.35,45.7596,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,He just...,2,Ses01F_impro04_F
46.2735,49.83,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,you know what?  I heard about that job.  I applied for that.,2,Ses01F_impro04_F
49.39,50.58,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,You did?,2,Ses01F_impro04_M
50.11,54.31,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F007.wav,Yeah.  I saw a posting at the theatre.,5,Ses01F_impro04_F
55.21,56.33,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav,Yeah.,2,Ses01F_impro04_M
56.35,59.0245,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav,You've been looking for a job for a long time; that was a long time ago.  Right?,2,Ses01F_impro04_M
58.71,60.0937,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,Yeah.,2,Ses01F_impro04_F
59.8,61.55,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav,Hmm.,2,Ses01F_impro04_M
65.97,69.77,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav,I don't know.  He had a really good resume I guess and--,2,Ses01F_impro04_M
70.38,72.7264,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav,Yeah.  Do you have a resume?,2,Ses01F_impro04_M
73.7473,77.15,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.wav,It's kind of helpful when getting a job.,2,Ses01F_impro04_M
76.49,80.7269,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,I just- I mean I call people up and I tell them what I'm good at.,2,Ses01F_impro04_F
80.1435,87.81,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M014.wav,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,2,Ses01F_impro04_M
85.49,86.98,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,Yeah.,2,Ses01F_impro04_F
92.37,99.27,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M015.wav,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",2,Ses01F_impro04_M
97.41,101.0475,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F016.wav,I'm there in front of them.  I'm telling them what I'm good at.,5,Ses01F_impro04_F
100.485,103.47,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M016.wav,"Yeah.  But the piece of paper helps, too.",2,Ses01F_impro04_M
102.78,105.415,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F017.wav,Why?  It's a piece of paper.,5,Ses01F_impro04_F
104.97,107.78,/home/wanghanyang/Public/DATASET/IEMOCAP/IEMOCAP/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M017.wav,"No.  But it has an outline, you know.",2,Ses01F_impro04_M
